id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len,
ea869bd6d00d9f5fcb4923b3901b2f64,,http://www.merdeka.com/teknologi/10-gunung-berapi-paling-mematikan-di-dunia-2-tidur-di-indonesia.html,,"10 Gunung berapi paling mematikan di dunia, 2 'tidur' di Indonesia",,0,66,0,0,1257,0,
b44095680211f63752b4df12987fddb3,,http://www.tribunnews.com/video/2016/01/17/dinilai-hina-nabi-muhammad-di-facebook-guru-di-pangkalpinang-dinonaktifkan,http://www.tribunnews.com/video/2016/01/17/dinilai-hina-nabi-muhammad-di-facebook-guru-di-pangkalpinang-dinonaktifkan,"Dinilai Hina Nabi Muhammad di Facebook, Guru di Pangkalpinang Dinonaktifkan","Dinilai Hina Nabi Muhammad di Facebook, Guru di Pangkalpinang Dinonaktifkan - Tribunnews.com",17,75,92,90,1623,1535,
bb97d0bfdb5187c96e8dded1b019f57f,,http://nasional.inilah.com/read/detail/2267489/densus-88-jemput-lima-napi-di-lapas-tangerang,,Densus 88 Jemput Lima Napi di Lapas Tangerang,,0,45,0,0,1026,0,
08a0db11b5aa63398081d74551c2d13c,,http://olahraga.inilah.com/read/detail/2252944/target-berbeda-ganda-campuran-di-hong-kong,,Target Berbeda Ganda Campuran di Hong Kong,,0,42,0,0,986,0,
a726508f54a5fbece49fde55eb14babc,,http://www.tempo.co/read/news/2016/02/29/203749299/MS-Rotterdam-Singgah-di-Surabaya-Turis-Belanda-Nostalgiahttp://www.tempo.co/read/news/2016/02/29/203749299/MS-Rotterdam-Singgah-di-Surabaya-Turis-Belanda-Nostalgia,https://m.tempo.co/read/news/2016/02/29/203749299/ms-rotterdam-singgah-di-surabaya-turis-belanda-nostalgia,"MS Rotterdam Singgah di Surabaya, Turis Belanda Nostalgia","MS Rotterdam Singgah di Surabaya, Turis Belanda Nostalgia",0,57,57,434,2318,1968,
48346049b4020c255224c297ae2ab722,,http://www.supersoccer.co.id/sepakbola-internasional/raul-gonzales-pensiun-dengan-manis,http://www.supersoccer.co.id/sepakbola-internasional/raul-gonzales-pensiun-dengan-manis,Raul Gonzales Pensiun Dengan Manis,Raul Gonzales Pensiun Dengan Manis,0,34,34,68,1492,1424,
9126050bbeb8e773a60525bcbca2be55,,http://www.tempo.co/read/news/2015/11/27/111722870/JK-Rowling-Buka-Rahasia-Mengapa-Potter-Namai-Anaknya-Severus,https://m.tempo.co/read/news/2015/11/27/111722870/jk-rowling-buka-rahasia-mengapa-potter-namai-anaknya-severus,"JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus  ","JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus",2,63,61,214,1173,959,
10bc6f7083aeed7b6a1793d32af16d66,,http://teknologi.inilah.com/read/detail/2252838/wow-topi-ini-bisa-dimakan,,"Wow, Topi Ini Bisa Dimakan!",,0,27,0,0,367,0,
982773d3d9134e8d2f9eef5d2f65d318,,http://nationalgeographic.co.id/berita/2015/11/kisah-heroik-dokter-indonesia-yang-mati-dipancung-jepang/?utm_source=babe&utm_medium=app&utm_campaign=share_content&utm_content=article,,Kisah Heroik Dokter Indonesia yang Mati Dipancung Jepang,,0,56,0,0,1337,0,
06c53247899762b2be6036c8833d2cf7,,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,8 Kepribadian Orang Berdasarkan Makanan Kelilng Kesukaannya,8 Kepribadian Orang Berdasarkan Makanan Keliling Kesukaannya,1,59,60,172,4420,4252,
